data;Radical;
作主;作主;
坊主;坊主;
主店主;店主;
冷店主;店主;
大店主;店主;
嫁妝店主;店主;
帮店主;店主;
帽店主;店主;
店主;店主;
恒泰店主;店主;
押店主;店主;
柴店主;店主;
柴炭店主;店主;
水果店主;店主;
泰店主;店主;
源昌店主;店主;
火腿店主;店主;
烟店主;店主;
福泰店主;店主;
筆店主;店主;
紙店主;店主;
膏店主;店主;
茶葉店主;店主;
錢店主;店主;
鞋店主;店主;
香店主;店主;
麵店主;店主;
墨店主;店主;
棧主;棧主;
舖主;舖主;
莊主;莊主;
號主;號主;
行主;行主;
鋪主;鋪主;
烟館主;館主;
茶館主;館主;
值堂人;堂人;Employé
司帳人;帳人;Comptable
店司;店司;Uncommon (Japanese)
棧司;棧司;Uncommon
主夥;主夥;Employé
店夥;店夥;Employé
東夥;東夥;Employé
櫃夥;櫃夥;Employé
莊夥;莊夥;Employé
號夥;號夥;Employé
行夥;行夥;Employé
店主婦;主婦;
店東;店東;
