Year,Topic1,Topic2,Topic3,Topic4,Topic5
1872,0.08658216585666226,0.5640467895883603,0.061774092008679664,0.17302867277879597,0.1145682797675018
1873,0.15888470111176464,0.30876414458253537,0.07570362071991002,0.2142336313469692,0.24241390223882076
1874,0.1100311024472815,0.6852861167245213,0.02493988288306535,0.09253476758555347,0.08720813035957832
1875,0.12135951979514521,0.6378988956343107,0.03691088428170764,0.10722041155215867,0.09661028873667782
1876,0.11334638497732204,0.7049625405769167,0.027278070502049487,0.08260386986842767,0.07180913407528419
1877,0.10226091347731617,0.6739229705301556,0.04416623177100602,0.09612493875393656,0.08352494546758564
1878,0.13464011731255118,0.6321043136917575,0.04384465612975569,0.09274698614840271,0.09666392671753296
1879,0.14899669371523042,0.640589306436013,0.04023270361525029,0.09794763424966182,0.07223366198384454
1880,0.13480445669138943,0.6327104823243423,0.03982395074245398,0.10189677095989053,0.0907643392819237
1881,0.1438040026373919,0.6150345918438856,0.0438558124775706,0.10546389218280004,0.09184170085835182
1882,0.12476158790369374,0.6334339586993254,0.04769166868219377,0.10919553322126414,0.08491725149352301
1883,0.12309235990727654,0.5425537224856802,0.036546937744767326,0.19716847599848072,0.10063850386379518
1884,0.1380595133161212,0.5274720682419606,0.04376272685476346,0.11766814368786131,0.17303754789929346
1885,0.11118762478109198,0.6673403215666535,0.044079235038517364,0.09032826837370153,0.08706455024003563
1886,0.1061099218507078,0.6237440753034011,0.055010202742241394,0.09025172550101596,0.12488407460263365
1887,0.10758342027727666,0.6346182435081464,0.05715497559275062,0.0893423404278058,0.1113010201940205
1888,0.12641074072097155,0.5793577016149231,0.06385945464390214,0.11607707632482207,0.1142950266953812
1889,0.09901115810957198,0.6459413362434533,0.038913652863140476,0.10467517110667289,0.11145868167716136
1890,0.10569147384610396,0.6532548911123868,0.04656273053221508,0.09302524496222382,0.10146565954707039
1891,0.11534598067786303,0.6492649270291854,0.05270737441728494,0.09533932050620272,0.08734239736946395
1892,0.1203769115497549,0.6346760737478074,0.05773440324463206,0.09463764788857355,0.09257496356923207
1893,0.12573785509746693,0.6389378898861369,0.055631146083021464,0.09544963956773218,0.0842434693656425
1894,0.094164187653068,0.6762484272963021,0.039841674666774574,0.09117721105279344,0.09856849933106189
1895,0.12611872361297644,0.662278456440883,0.04741730264902251,0.0911123278217677,0.0730731894753503
1896,0.11272408252623285,0.6758781197478526,0.03625823487843324,0.08526709550302573,0.08987246734445561
1897,0.11342177416783322,0.7124855472647602,0.03666229392256339,0.06847000273211894,0.06896038191272427
1898,0.11011560999808637,0.6955282086588314,0.04020998622664036,0.07944721337972314,0.07469898173671875
1899,0.09866944588897496,0.7242203011279768,0.04180469411207682,0.07349899863658588,0.061806560234385605
1900,0.08803043789194007,0.777753839929136,0.031940179004921826,0.05956438053588619,0.042711162638115904
1901,0.10733086814962724,0.7210213554799857,0.038118205421866516,0.06442936956731991,0.06910020138120061
1902,0.09314737172090626,0.7557272997023734,0.036035005353614,0.0640385029446036,0.051051820278502705
1903,0.09251695971008965,0.7316539718148634,0.04060188736237838,0.07706154791220472,0.05816563320046391
1904,0.09410759092542971,0.7378954791113407,0.03857732832833659,0.07262519372023205,0.056794407914660956
1905,0.10605851116298406,0.6639019669758884,0.04536407196986862,0.08566407697649356,0.09901137291476535
1906,0.14024756445716174,0.5649125601086389,0.05982778741537091,0.12283177610726026,0.11218031191156826
1907,0.1295139851051471,0.5907511406349157,0.054457282242932045,0.10181925187331053,0.12345834014369454
1908,0.10045382137112055,0.7167455674453137,0.04433657099907587,0.0742854710497743,0.06417856913471562
1909,0.09814373294003592,0.7121778094132368,0.042010431972256485,0.06989237587375795,0.07777564980071285
1910,0.12059271399896286,0.6747463938755255,0.05447921316661395,0.08338829811789226,0.06679338084100549
1911,0.14772138304924579,0.6466568442269067,0.048904824907253765,0.09174364424831043,0.06497330356828329
1912,0.17653469889394288,0.48557611323284733,0.08957592001303943,0.13771541262475157,0.1105978552354188
1913,0.1826830999963553,0.3446951107664007,0.12329394374867418,0.16077130520346128,0.18855654028510857
1914,0.15416638102243946,0.3744013995545897,0.14119804629046837,0.15309090735357966,0.17714326577892284
1915,0.15697350738506596,0.3987094999370926,0.12711010769224174,0.15053045983446642,0.16667642515113332
1916,0.1387679200772027,0.4335414240552009,0.11279133610996363,0.1321067572400394,0.18279256251759338
1917,0.14218793738906485,0.4931365581990735,0.0874782366801871,0.12447773052106857,0.152719537210606
1918,0.15802605297005748,0.4358281713806774,0.10513135312218784,0.12441673659402813,0.17659768593304911
1919,0.17705397795983735,0.46136729647855806,0.10650257290465272,0.14118475867063068,0.11389139398632117
1920,0.16108462982682736,0.40612746142655165,0.14861270497310775,0.12254672952048176,0.16162847425303148
1921,0.1512699274594748,0.39880792175824575,0.14325012844820417,0.14540126188062288,0.16127076045345237
1922,0.15115329041339365,0.3623284641014992,0.12584059557590213,0.1674653873160049,0.1932122625932001
1923,0.17544279400908094,0.32185544184653436,0.1493484116600612,0.18528224853039663,0.16807110395392688
1924,0.1986963006170881,0.3481546572312644,0.1263187573387331,0.1549952884171378,0.17183499639577665
1925,0.1848164551579242,0.3806306015975594,0.11785953199237396,0.1555737282543144,0.16111968299782806
1926,0.18656138742720996,0.35455206657149285,0.12068665038697729,0.16251745630415318,0.17568243931016672
1927,0.19653009635542248,0.3115295557520231,0.14521917673413293,0.169769941282652,0.17695122987576944
1928,0.17830971829593353,0.2607048768899651,0.17131280078414368,0.19420399509592456,0.19546860893403314
1929,0.15055008792763425,0.2602966756541717,0.1885264395115158,0.19628846291739838,0.20433833398927986
1930,0.1831384003110955,0.24225042437711944,0.1697882728578935,0.2053642242691243,0.19945867818476729
1931,0.18650362144931093,0.24504875336466814,0.13923268535529806,0.2097772287645173,0.21943771106620558
1932,0.1747359658545471,0.21654526695081183,0.21886116628433622,0.18413541346393497,0.2057221874463699
1933,0.1905551195687747,0.240805731096612,0.17362396598838503,0.20156771446292987,0.19344746888329842
1934,0.19583680896421862,0.22035800248682397,0.16698993644478966,0.20950069808356708,0.20731455402060067
1935,0.18242040709444485,0.234798118144399,0.17005981948273755,0.21642128016258422,0.1963003751158344
1936,0.1881833651637543,0.3238143322373008,0.12404008793273558,0.1901691285767386,0.17379308608947075
1937,0.21187072301846457,0.27425021777628766,0.15183856798770462,0.18496238187761366,0.17707810933992946
1938,0.20276790725942642,0.2283016687888988,0.15261894840536053,0.20628593308926657,0.21002554245704763
1939,0.19843327100523594,0.25350995375891827,0.16589343052958155,0.17446716417878402,0.2076961805274802
1940,0.18399768314373618,0.28725743254825603,0.15925914874497518,0.17607907398198702,0.19340666158104555
1941,0.19527911667483386,0.30202070555718,0.12534135864310403,0.1725793836528937,0.2047794354719884
1942,0.17218095520315965,0.2764295936788212,0.13170584274991265,0.2281798207809208,0.1915037875871857
1943,0.14823557245337296,0.2755511165067117,0.1732616867138393,0.21873953098140028,0.18421209334467578
1944,0.15092844345900017,0.34082592714138393,0.17733591519187447,0.16255060799448376,0.16835910621325773
1945,0.18034230847867336,0.2561551186934076,0.18882995240402903,0.2150121630983922,0.15966045732549783
1946,0.18671659342505528,0.23392160562110906,0.17341862401574648,0.21340358708309637,0.19253958985499284
1947,0.17285719869203314,0.2645075185140403,0.15721743279503766,0.18184623810270373,0.22357161189618513
1948,0.1809317394698614,0.29813594776512675,0.15710984711303033,0.1980771856445088,0.1657452800074727
1949,0.1673331539042613,0.30794416302464783,0.14769769451291676,0.17268039267518615,0.20434459588298795
