Year,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
1872,0.04024412075756269,0.06948110075059373,0.03173912668837968,0.03754739221534137,0.08179601987648895,0.06302427047452377,0.03413827672746737,0.05254437563197228,0.42007958685405666,0.1694057300236135
1873,0.05602838042204854,0.08506360880465828,0.06383509192408171,0.028565480417968463,0.05267115734579914,0.052712084965210994,0.05099128447696498,0.05226520571183943,0.4306722575237654,0.12719544840766303
1874,0.04917997129268807,0.03699091813921998,0.024054211120190516,0.05094964325412397,0.17634657185083566,0.07648993042298667,0.05591747203976089,0.07208023168146949,0.08122395752326121,0.37676709267546354
1875,0.03595804417440408,0.05048087770145873,0.012158593123175316,0.04043977907550948,0.14830039281414356,0.07495578146877695,0.04423723715064981,0.11858302815678083,0.05239634955485423,0.422489916780247
1876,0.07188741254959394,0.03439173528195888,0.018535893049248003,0.03922988498927545,0.1629055017883546,0.06271695858538691,0.023245512505441445,0.07263831560681444,0.041506752204508536,0.47294203343941776
1877,0.04883987772255734,0.036928172091714534,0.03729237530519052,0.05121584123066272,0.13536474171499346,0.07431512702925477,0.030650021484569367,0.08931654312062742,0.04239502577610079,0.4536822745243291
1878,0.044515162056453936,0.038499803214446286,0.046544191565230854,0.04027246255044805,0.13839602777189147,0.06446087099002769,0.03859990849049141,0.05383467177273559,0.05902877894655376,0.47584812264172094
1879,0.061046702168383815,0.028970118961586713,0.02345364929643731,0.01964938025989266,0.16837258857098547,0.08387104331185193,0.034506624358798484,0.08015228282148851,0.04770357491528289,0.45227403533529226
1880,0.05440551725626487,0.05284932900831492,0.03212632661227271,0.028394158340314172,0.19505567745657382,0.0751734028773847,0.0477564223564702,0.04186715942096231,0.04605292586813469,0.4263190808033076
1881,0.04793034943985059,0.03685929920575426,0.039613457464319865,0.03493759124085034,0.19386331445575794,0.06690168898398538,0.04356009849840088,0.04941976824070203,0.057221629080572003,0.4296928033898067
1882,0.03345393295137593,0.05854876146885454,0.02021020304443947,0.039944595762124564,0.1669902149478077,0.08072876332076717,0.03836001291260497,0.07761574447238644,0.057423733400605435,0.4267240377190338
1883,0.21820556807280955,0.0441848612984202,0.01816270805134689,0.030116708563644005,0.14404431609862678,0.0586605319966992,0.04866737067595779,0.06394295353121789,0.063466298309385355,0.3105486834018924
1884,0.052578026434733936,0.029959655379875206,0.022177405785562564,0.035247747041521366,0.22532736824503022,0.06703803408381782,0.021386340181737306,0.06497942220478496,0.056954359769923184,0.4243516408730134
1885,0.04734269293107824,0.033276632494634736,0.016939601703725535,0.033616459027,0.1678711327574889,0.06432831115604187,0.03385011945601272,0.08071277277198835,0.05062673683081111,0.47143554087121853
1886,0.04933438032381521,0.042826871798158125,0.029396390460126164,0.041109210518937206,0.16254009514279358,0.08283024235086488,0.03326643152323177,0.07505943351598615,0.06489982703690036,0.41873711732918656
1887,0.04632088783438448,0.04597786488355651,0.014668347920896671,0.0470631639791369,0.1867327949430098,0.0695738461612284,0.034201219693995734,0.07537844542872373,0.05393176022418291,0.4261516689308849
1888,0.048476002898474785,0.03996072477815281,0.02801290546421063,0.0341998776008094,0.1848784818690229,0.07154927007854897,0.037127765509450864,0.07923885376866806,0.049903939754399045,0.4266521782782625
1889,0.04990622511755804,0.034142067018782356,0.025591110736306225,0.04569296692476038,0.19657883249288644,0.0818785989288792,0.04892963561150528,0.06949059502447355,0.05241229082340542,0.39537767732144313
1890,0.05517430512200667,0.05871235881215709,0.023821539309198822,0.05237062439433392,0.19169183922929747,0.07479761174011898,0.042690245165980224,0.0832513002818619,0.04586522081469249,0.37162495513035243
1891,0.05131248895687757,0.03280308008114685,0.027962624562124273,0.04758387468208788,0.185962852661025,0.07337067898069682,0.03649611455030887,0.08638526042748754,0.06400472483742595,0.3941183002608193
1892,0.05542347930409838,0.03662360293555237,0.01940296702576678,0.03514928430889593,0.17779190830102815,0.07047641407487082,0.038973863256779276,0.07509430933074134,0.04538808033981102,0.44567609112245593
1893,0.043569539282912545,0.044949149724249356,0.014155730367640392,0.05421858398562232,0.20443144005649524,0.06546266158670999,0.03869120589226791,0.07323468458254405,0.0489016981470448,0.41238530637451337
1894,0.04122048740520361,0.03374641393904691,0.02302046925899747,0.03695509244668401,0.2133157283995584,0.06808566429371629,0.03342756225133625,0.08504042361381593,0.035603715598401676,0.4295844427932395
1895,0.049226058214456296,0.03289792931106281,0.015479327609680711,0.04874634515817189,0.19763469989701113,0.05665693966185432,0.03415596546538289,0.07780062229271899,0.029284479767384974,0.458117632622276
1896,0.05413432881686007,0.04815774421245513,0.02675533911982456,0.03592133373827504,0.22339281280454182,0.07779232540986007,0.03798045092459838,0.0681675997441556,0.047644387489887065,0.3800536777395423
1897,0.04888876193654196,0.039140297876164416,0.019915857954173857,0.03586940407700272,0.21276136545772933,0.06526599801843552,0.030726117299949642,0.07767512273780544,0.046121654926987915,0.4236354197152092
1898,0.04313624737120916,0.042426318997216425,0.023989473073915864,0.030357463193932517,0.20501272433064066,0.054859732017602636,0.031743117986016256,0.06858375968480003,0.05083369245545455,0.4490574708892119
1899,0.0455621609371021,0.04464543052863477,0.01579405559261214,0.028384747550548376,0.2094449778929173,0.06330027763683448,0.03590982212116943,0.06678235952883345,0.0419353308070244,0.4482408374043235
1900,0.0483825721700211,0.03385269545949732,0.018928308653469447,0.03858576697749717,0.19284855895488281,0.054815671690638335,0.033717474927063604,0.06867993913984055,0.04503627467943836,0.46515273734765133
1901,0.03643763499116839,0.03094271869467525,0.023867529209079186,0.03863444509115462,0.18041325469321862,0.06991860804060851,0.03104640186239914,0.05963166548877297,0.03902835619772476,0.4900793857311986
1902,0.05290542993735158,0.03151206632416265,0.019728206589852797,0.030063722757873428,0.19631746293779298,0.05423122564865917,0.031633547059507515,0.07084860136603334,0.04845244052919297,0.4643072968495736
1903,0.04641144870162171,0.024977781045655588,0.023054911843492315,0.04284797178963543,0.20952175979248747,0.0670381444442241,0.03475560869084731,0.06580857341090317,0.037572291660487964,0.4480115086206449
1904,0.043347131287345596,0.036796167732883044,0.020795553934273237,0.04083612303103725,0.19287674497190185,0.05852879586975338,0.03079580014418532,0.07375166948042802,0.05249238482961882,0.44977962871857347
1905,0.061556535156391444,0.05110155959540435,0.022615304345851885,0.04907410572064584,0.2017188527713993,0.09298565359485457,0.04796888935774399,0.08149982672165398,0.05520896360565944,0.3362703091303952
1906,0.0532668088163789,0.052452276002847555,0.032326801377078065,0.04301902502952121,0.1782378795613978,0.10685995506924793,0.05462392360868284,0.10396639555288956,0.04868328967932028,0.3265636453026358
1907,0.060842052903706596,0.04990457047813318,0.024952722838298202,0.057507662026417807,0.19409819381350935,0.11028737518311645,0.05994438801148415,0.09637404420621251,0.05440799918103876,0.291680991358083
1908,0.052070311188040036,0.028555596461930944,0.026019539975215063,0.04037733967360541,0.22742354923024077,0.07656946675889327,0.03862428152831315,0.09031050981817722,0.04988990662785573,0.3701594987377284
1909,0.05867391557650239,0.04110064489913979,0.018892884122564024,0.04484978371282891,0.22430360933267632,0.06630246062304598,0.03368551799743663,0.08820606567605503,0.05471533872935995,0.36926977933039096
1910,0.054459168668575406,0.045138189330194346,0.017537789715873213,0.0444009379741151,0.23508257790607145,0.0658886775100925,0.04464813724543241,0.07527426993094366,0.05704606100329256,0.36052419071540937
1911,0.05207584586182103,0.04428139791872149,0.02192156800760286,0.058227037982520706,0.23301946173930865,0.06920135033872328,0.045293710262087436,0.08966159205151361,0.0594228771062836,0.32689515873141733
1912,0.04580243321328989,0.04981099604906483,0.018643398606617925,0.04916855522500506,0.21303616887414212,0.09501719017879197,0.05071229548608502,0.09066387616460915,0.07368915798207346,0.3134559282203206
1913,0.05855699527591514,0.10440999050769416,0.0503285206025562,0.055998097285374034,0.18177398499493186,0.08200923904202345,0.05727554753606136,0.08894598806870212,0.09031048905158713,0.2303911476351546
1914,0.07064878960512354,0.09185967710669861,0.034741593010737384,0.04601196569170681,0.18620449516593182,0.07403661313548093,0.05725565366118152,0.08253627318642516,0.06682054941190209,0.28988439002481214
1915,0.06436922829732089,0.0882726108630991,0.03775381790989925,0.039405418059720865,0.20272824874957426,0.08281882202505478,0.060614608543594316,0.09039159105456672,0.07262580164544384,0.26101985285172596
1916,0.0684003576209423,0.06099709808355282,0.043775996708156156,0.04797871078814057,0.20645592466729754,0.08537781598339045,0.053978791184014774,0.08321431391308247,0.07111068821764874,0.2787103028337742
1917,0.056076656797837326,0.06279983514969731,0.030591212127033154,0.04563346325776411,0.24100380039996638,0.08444062898731546,0.041748231809755086,0.08156800506650047,0.06267723471461424,0.2934609316895165
1918,0.05440520991054261,0.05596928119953254,0.03092297109866921,0.04370240083181898,0.243236276151824,0.08455087343777375,0.05437448543876177,0.0838605764617422,0.06190780348109239,0.28707012198824255
1919,0.06413619416830524,0.04581999925050892,0.03031811328038976,0.042620694080445366,0.2277846006387742,0.09791926518936069,0.05452184574665217,0.0911030740554267,0.05368850325154699,0.29208771033859
1920,0.06194241479744264,0.07722210377843093,0.045236587723101095,0.05357330279274304,0.19293703378410143,0.11557851439908076,0.06107338497847288,0.10832731474102285,0.05377293586819696,0.2303364071374074
1921,0.06833372068208848,0.06870931193870732,0.04050462086937915,0.058209221107754325,0.19482225582341786,0.09175920884332044,0.056910210385494236,0.09444543308115434,0.06384716559904399,0.26245885166963984
