Year,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6
1872,0.3016505681379448,0.05228154835214641,0.07847347928269884,0.4202145203043495,0.06825207855268854,0.07912780537017192
1873,0.17826587327935453,0.09081444252996562,0.1387375334671716,0.35227206092361796,0.07136665125174452,0.1685434385481458
1874,0.4069949612174441,0.05959427911371813,0.09048469778089664,0.3553367456824988,0.042962880552784924,0.0446264356526574
1875,0.35845805769799,0.09276064653967347,0.09884340992031883,0.3550302981269148,0.046801611525067045,0.04810597619003585
1876,0.3950996201217909,0.07618895882394137,0.10068618678169865,0.355799785509173,0.03773293956230211,0.034492509201093924
1877,0.3999514732315382,0.08269577227929989,0.07852715648562207,0.3362612814694532,0.058386938180251514,0.04417737835383508
1878,0.3777007877629083,0.09522720546235683,0.10699482271362798,0.3134134034399139,0.04103129223668902,0.06563248838450395
1879,0.42583971857498415,0.08168262480040135,0.1276564250317802,0.24621929947066307,0.06806776806124937,0.05053416406092184
1880,0.4060511104891556,0.10782029629506597,0.08716275740974694,0.2827024069001376,0.05530478365967574,0.060958645246218156
1881,0.40582296796260814,0.12126490737965766,0.0980331127659452,0.2502937232350354,0.06495836728886047,0.05962692136789315
1882,0.40897271765012444,0.10437964826581628,0.10070583450168571,0.26252865258911867,0.0673185469791451,0.056094600014109826
1883,0.3303650194782981,0.09786642918896236,0.09525850026580805,0.31919601132550574,0.11089279913153545,0.04642124060989033
1884,0.3034125582416401,0.10178717188428271,0.09781375406355218,0.3744167836676372,0.051880597867103084,0.07068913427578472
1885,0.3862950105935202,0.08921564048050805,0.08429912007615938,0.32976188601856044,0.05208964050227971,0.05833870232897224
1886,0.37744448048820595,0.08376099058169671,0.08462882321125055,0.3081959397407313,0.0652410140120752,0.08072875196604033
1887,0.35850978805237954,0.07750423390356583,0.08411340733348988,0.34572457241361604,0.06179318829064914,0.07235481000629955
1888,0.3316029647311698,0.0973426817585706,0.09917578489522007,0.3174860417066241,0.0709338368485481,0.08345869005986738
1889,0.3654174358817417,0.08938248000103624,0.0797142065661568,0.3511852284865984,0.03844474973170862,0.07585589933275828
1890,0.3618094246490624,0.08364111329946697,0.08592766053602158,0.334394126572826,0.05722854789750847,0.0769991270451146
1891,0.3859893634556081,0.07806872225389237,0.098153036605923,0.30694586322907985,0.06279442089676075,0.06804859355873594
1892,0.3785803508720571,0.08913573289926707,0.10105063084611102,0.29211724558190855,0.06781510279727455,0.07130093700338166
1893,0.3784958516332243,0.09844242435107116,0.09614072462353773,0.29901500822684324,0.06528932162037998,0.06261666954494358
1894,0.37439743241256696,0.07242865912472216,0.08114186139313467,0.3707273700876497,0.04331675451087135,0.057987922471055144
1895,0.3910477592347991,0.10108362985242345,0.0956684856779314,0.30865961128197944,0.05222531052958589,0.05131520342328072
1896,0.3982832291022877,0.07278468040482042,0.09688605399892022,0.3197005852414423,0.04947053057002622,0.06287492068250318
1897,0.4217275032076199,0.06572723777488541,0.09725459119019597,0.31981033510206586,0.050300612632595915,0.0451797200926369
1898,0.40356095832518435,0.07292435218100557,0.09002131341545391,0.32784231107932743,0.05181327746863687,0.05383778753039183
1899,0.42187335994788094,0.07130385705652302,0.0821016856686533,0.3273838698970139,0.054389575540425325,0.0429476518895035
1900,0.46041341022476134,0.05724702320409973,0.07441847138337296,0.33195296562678545,0.047873173910682736,0.028094955650297782
1901,0.42463866863391825,0.05940940863673676,0.08931303246392804,0.3308218208847489,0.05575585486708404,0.04006121451358405
1902,0.44426283725506144,0.055849743341242195,0.08225205997636863,0.3312657934805447,0.05797202122822862,0.028397544718554442
1903,0.4305165015284087,0.061315059005258896,0.0780043861271988,0.3316915787871715,0.05392465994671448,0.044547814605247676
