Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
0.005565994559708887,0.07328566089990098,0.20709717781727113,0.010022510894762039,0.0020649234925385783,0.3563131651115788,0.34106154331333544,0.002904659465125675,0.0016749513487662794,9.413097012501742e-6
0.002600416617221289,0.0014658828038260586,0.9887252863497928,1.8317240068885967e-4,9.473682438250281e-4,0.0027120422758844403,0.0023420088764563043,2.45197998937319e-4,7.724008242098643e-4,6.22360915888233e-6
0.001229126791231211,0.0025332603878622855,0.004532831780612069,0.007692539883531001,0.0031509225838463007,0.03561515149542332,0.9392367669800585,0.003960636385528135,0.0019528598612905414,9.590385061664088e-5
0.004771355065330894,0.003923445064020158,0.8867537806597479,0.0014816172675082625,0.002461727395624492,0.06108535412966798,0.03257477278092544,0.0033348656040642047,0.003569290271173457,4.379176193676775e-5
0.4594275562782323,0.002365722291248952,0.02721169939647376,0.09951720947698439,0.019294019642010947,0.3650949013891105,0.02193001071060075,0.004991830211521689,1.055354294808423e-4,6.151517433613472e-5
0.0011431007871776136,0.0010410139123959929,0.007285618904500821,0.046953646126791995,0.0022239019255827605,0.06872315177185874,0.8698268830545414,0.0022662714366872344,5.074467524066945e-4,2.896532805760696e-5
0.004530995776338683,0.007823742899865515,0.009745330150586845,0.0036626743939623587,0.004276246546709805,0.17564483270537998,0.05126305031137274,0.02239424876699529,0.7200933558806382,5.655225681506507e-4
0.011216079798843407,0.0015456391006360608,0.0016875656644177574,0.015040756057141846,0.0024357856017078747,0.02283380743322472,0.9361266407974117,0.007118408329130945,0.0015973298627445247,3.979873547413998e-4
0.011705487033314128,0.003022113279140577,0.007765203457110593,0.017150582484137467,0.012540195779098326,0.9075491828100958,0.021397135909518365,0.017889834387756716,6.536200587553044e-4,3.266448010724953e-4
0.0016460288634648384,0.0049816069596140935,0.002942653482783545,0.0030987897007688416,0.030309004193205705,0.004293283695488982,0.6846371183054438,0.004228354274443564,0.2588403732924585,0.005022787232328402
0.010655043433684012,0.004616360275710107,2.737316641993933e-4,0.0017371550081757953,0.5387474215355688,0.0013988925151451298,0.001140204307278404,0.01409619953348025,0.00635937518984467,0.42097561653691357
3.761721157415169e-4,0.0056263688154260146,4.168037986003593e-6,1.7355603450680767e-6,6.353060843592538e-4,1.6565030285134414e-6,1.567182267006944e-5,0.0028005817132201855,0.9097446173080225,0.08079372203920103
5.8540153829936e-4,5.123515595943098e-4,8.820484305650684e-7,1.9372680137878116e-5,0.007667731912821555,6.055918226292447e-6,7.540038866782894e-6,0.003212668624169834,0.0029792745526537063,0.9850087211267997
4.221935698498117e-4,0.0060426353665497656,4.419553042428222e-6,2.0129198004947478e-6,7.430029466307293e-4,1.8740488255239807e-6,1.6894793319172308e-5,0.003152706619196036,0.8946338922584701,0.09498036792431595
3.185737434064408e-4,0.005323422640104997,3.852974758916957e-6,1.3937798212229413e-6,4.987673004860835e-4,1.3807063202236277e-6,1.4038588813347132e-5,0.002352307667113007,0.9288354473643433,0.06265081523483228
0.16585464434792913,0.39614054465639065,0.05148364828815278,0.21396624327524125,0.006184170688749478,0.14341376365052858,0.009616645120069066,0.011563027945586902,0.0015474657013483074,2.2984632600338831e-4
5.606457405156445e-4,0.002274036892288339,0.0020359665706302823,0.003157093088370318,0.003062842178575416,0.004958514996876821,0.9784950253877013,0.0021288995423210423,0.003113386669212111,2.1358893350902314e-4
0.0010984502991883058,0.0027792385754796937,3.9256905749793626e-4,0.036677401052926766,0.013094998895525211,0.004300833351813786,0.8386926127555662,0.028452838846047244,0.007534952717506993,0.06697610444844805
0.0014220105301029596,0.005016568331095036,4.704367852976814e-4,0.04915145644379518,0.011379870291723443,0.005230122504311582,0.8230527095076984,0.058826653031237956,0.03125966388000321,0.014190508694734101
0.003004576536483267,0.013061960711350741,0.0018983070174212718,0.00468941917804633,0.0031979794205859724,0.008389109022279647,0.6860791042304589,0.1641727887069458,0.11083804789143387,0.004668707284994139
0.001063584587750181,9.812645582222463e-4,2.172560843443612e-6,3.8440268408072675e-5,0.01218229443091754,1.4311789759449153e-5,1.6740505748168814e-5,0.005794178213595176,0.005163664422665385,0.9747433486620904
0.020786881358768643,0.1428241962350464,0.002981668498420577,0.10839825708344665,0.32503206449913563,0.023997141365540365,0.02780447301769867,0.2496486789946911,0.014889184011661822,0.08363745493559009
0.0166814577226083,0.00638537731396913,0.02317171820797419,0.04772234294511532,0.8494926696779792,0.013893445648254588,0.015964954189085376,0.015580496278128847,0.0026559924064985725,0.008451545610386415
0.4009796810752047,0.005076493198426331,0.002353881721457873,0.003301175156727128,0.005388212860522146,0.011714256227506683,0.0012914219497128462,0.5625182510708115,0.002666636911810041,0.0047099898278204645
0.012289952215503332,0.02044712742000277,0.09238315775534732,0.02491146432650726,0.01869478621302489,0.09842010475169856,0.46546698345578663,0.007278430515242627,0.26000754492723926,1.0044841964733004e-4
0.16902324044702413,0.300343729299728,0.16508211873814446,0.004678818977286746,0.040523850296177485,0.03471812855037202,0.027092613747570733,0.014862434519813537,0.2414593359564477,0.002215729467434715
5.388390468630289e-4,3.3658086235311015e-4,6.355178302627395e-4,0.8467313456228109,0.0013209647288784734,0.12782970877252506,0.020259228682984635,0.0023059243342604735,2.08976208386505e-5,2.0992498222671112e-5
0.051605347070041004,0.7145322902702959,0.04008114557593387,8.491029991970512e-4,0.06168498168285571,0.002673544568381466,0.0018415172919758595,0.06637612841647123,0.047884731543793066,0.012471210581054822
0.0023222549958276622,0.007302794713159285,0.006022608322765811,0.009082329892112483,0.008506785390969754,0.016398624582039452,0.9353560405688779,0.0069297224998864,0.007426265942878333,6.525730914829454e-4
0.0016891987142780961,0.0030677060279462134,0.015466431364299557,0.009725992491904685,0.0033802259585336636,0.09313867960381872,0.8698870172569008,0.002442847086642123,0.0011804941684916042,2.140732718451221e-5
0.016078274255574152,0.004008317016684462,0.37493222182370417,0.0017006774058987957,0.0032731049428395592,0.11878130583624921,0.31222754428999716,0.005194748504977594,0.16371151814570356,9.228777837165183e-5
0.010036165491959936,0.002806200077713571,0.0018226393523821003,0.009282802745538903,0.00893457402294399,0.9200021627915872,0.008177851632083653,0.036136094872394935,0.0011988101129224527,0.0016026989004728882
0.005808536398571929,0.0056312907318850575,0.6721288388699235,2.2884396341218405e-4,0.002687435000385304,0.003876802421746236,0.0056740380241175415,0.003889680672646835,0.29966731433477733,4.0721958253447937e-4
0.00440902040890235,0.011127172519722018,0.010577290289739789,8.781257021823304e-4,0.0052385990737975644,0.0036038888807270147,0.015964702231552753,0.0046749163514305594,0.9427473208624264,7.789636795192921e-4
9.648951422306708e-4,0.00584837124534681,1.5475209408725366e-5,8.63376568972978e-6,0.0024935295929772996,8.077183460728926e-6,6.195316533131253e-5,0.004682473060060774,0.817403121324292,0.16851347031120198
0.7906117375561696,0.001434249128629642,0.005003660924740729,0.007170049534552592,0.09714053260015117,0.02742272267898288,0.0031934673014848993,0.06589318748595455,3.731738309610974e-4,0.0017572189583726706
0.008426602021967279,0.0023031159479127185,0.003290352662364716,0.049792654278746795,0.8964730617720139,0.019746289048526842,0.007947945548429819,0.005677406697014203,4.1742158745212754e-4,0.0059251504355714935
0.0016552847283329566,0.9873699121332372,0.0026727891732182406,6.972504038828045e-4,0.0013166190027718147,0.0013698847045369663,0.00241094568755999,7.955310046281191e-4,0.0016490374042034222,6.274575762895172e-5
0.002782632824930649,8.532771575727033e-4,0.0023638169944053987,0.005594414501013418,0.6487163843074418,0.2572840247625236,0.07665268743854577,0.0036334357002227743,5.455738841861192e-4,0.0015737524291579877
0.0037938585138968155,0.0014410930549485443,8.000692711867291e-4,0.30945144322557916,0.0948964303973963,0.0391957569427879,0.005201237903857932,0.5385700368313595,4.5232546185839474e-4,0.006197748397128586
0.0025404887690607275,0.0021022908342608693,0.0018754814824874183,0.05177588344143823,0.6190790552157196,0.0760826922042091,0.23441945176100573,0.006495265709859,0.0012328052122348486,0.004396585369724104
0.002632570567415432,0.0025628239769979887,8.026837290815358e-6,7.102750725608269e-5,0.05279770079588798,3.7480847141446375e-5,4.201662613967255e-5,0.00878152377040186,0.01211129546651008,0.9209555336049587
0.012276615266739265,0.007334786544095463,0.0010233739176716966,0.032864348549071505,0.7903333234557312,0.008225978193597213,0.007271351878048718,0.031428179907467914,0.008583115036164962,0.10065892725141211
0.012862675033703384,0.0035802494868976153,0.0020064821354844418,0.005788579171008391,0.9141176782367498,0.008133715595689029,0.004659917445167508,0.009577903261540536,0.002030950692824347,0.03724184894093505
0.012651916792548644,0.0024702681438204133,0.0023836244748505204,0.015813894727692745,0.6734410984859195,0.011099919725159247,0.010139652705171833,0.017306225239841044,0.0019293825835619974,0.25276401712143404
0.1596668978010489,0.002849346158503294,0.006327462345628048,0.011141773408132256,0.017427308054661174,0.7777681652127407,0.0052160693377554575,0.018068862051813284,5.948288124535487e-4,9.392868172634909e-4
0.0192101735400534,0.248670864128853,0.001946785683197942,0.010187848158165216,0.405373824387336,0.009950155527211077,0.006099294553314522,0.20523662596259817,0.023511493542962742,0.06981293451630782
0.013667727248866618,0.00489183302213768,4.161052867972231e-4,0.003913316758688219,0.30909692552156676,0.0026893509570836784,0.0021762416369427505,0.023315760450100777,0.006742993857609138,0.6330897452602072
0.014208848162128722,0.005657537838135743,3.770702883034756e-4,0.003274622866467479,0.30197517833660686,0.002431797253614283,0.0019414352539597996,0.024555767183698042,0.008217371959400458,0.637360370857685
