Year,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7
1911,0.04653977571655253,0.5986755258047376,0.15670594788990777,0.03765598661816283,0.039941069290079415,0.043629877324748816,0.07685181735581101
1912,0.056616656768279795,0.450188303748048,0.19472965869321654,0.05573887280035099,0.0662041665671748,0.06510681984078115,0.11141552158214868
1913,0.08502627533716134,0.31598975653466393,0.20387058729793464,0.07766663904567594,0.12439791647322468,0.09032687940464057,0.10272194590669892
1914,0.08555202584771188,0.34292794542201777,0.17362921023103875,0.09881432751290463,0.11518364199850503,0.0806188183247378,0.10327403066308417
1915,0.08449644373312505,0.36405981127281206,0.17940888236998445,0.08900369471805639,0.10847206035939728,0.07691747227414585,0.09764163527247893
1916,0.07732841680706538,0.40315105451532257,0.15258163822306742,0.07064958084916208,0.122195749741197,0.07776489854797969,0.09632866131620586
1917,0.07185996385087322,0.4633845252872229,0.15776481025033953,0.05879326180190674,0.09969857284705146,0.06604582985245722,0.08245303611014895
1918,0.08000089743940147,0.4102837949086375,0.17035586789962423,0.0645082618485835,0.11814204871112013,0.07209524697585713,0.08461388221677603
1919,0.0809931144737239,0.42552177916494754,0.193704630355213,0.08178476637188047,0.0674144554064985,0.06152490358209736,0.08905635064563926
1920,0.06917500287191546,0.36948551779860506,0.17450667566218647,0.09815766403201424,0.105865693889374,0.08268941942647574,0.10012002631942901
1921,0.07870139142765468,0.36184002971145063,0.17089268718882525,0.0927270824786739,0.10190743380632351,0.08904336169952826,0.10488801368754375
1922,0.10139310495431347,0.33072264598353235,0.1719110861401071,0.0794902699135384,0.1183775869670452,0.09586693777584965,0.10223836826561383
1923,0.11221770292118789,0.2946412293365963,0.19964664170350777,0.09991025585493711,0.10794950380719541,0.08663400355692434,0.0990006628196512
1924,0.0819397542430536,0.3218861229312681,0.2211208241710537,0.07671611472419226,0.10279860194428964,0.09434833802512783,0.10119024396101485
1925,0.08383991460374418,0.34862149928709163,0.20780156667577976,0.07102578495618264,0.09798466406442446,0.08572227510718157,0.10500429530559577
1926,0.09599182047394773,0.32570903625367215,0.20784006019820392,0.07777764914475029,0.11075914155088507,0.08821577352391241,0.09370651885462845
1927,0.10775733567563892,0.28603044845693276,0.2214568560613967,0.09725867041326584,0.10363090024099682,0.09184022505086889,0.09202556410090008
1928,0.1099582158022024,0.2379816372703979,0.20939825963853403,0.12236960368824516,0.12270520002768719,0.1022047224080989,0.09538236116483444
1929,0.11365113994379966,0.23203304613648784,0.18758217833859955,0.12897908608736525,0.12189240154903154,0.10285277170316953,0.11300937624154665
1930,0.11834154082753788,0.21640101615314894,0.2174479163699238,0.11512636645642733,0.11582752007195025,0.11039599324008255,0.10645964688092924
1931,0.11908713343931138,0.21963994323634053,0.22240626425018917,0.0917710798319502,0.13776339644957333,0.10857231298755209,0.10075986980508332
1932,0.10163041613046488,0.19483231192508682,0.20417255424772163,0.15475397008303501,0.12515590909800842,0.10759981620841183,0.11185502230727142
1933,0.1089829431022585,0.21543776496419997,0.22638178971901032,0.12639642141959606,0.10697321684533542,0.11408300352846094,0.10174486042113876
1934,0.11757215187072068,0.1973854917560809,0.23045764174766714,0.11312840947236291,0.12227324373160994,0.10934207216367131,0.10984098925788713
1935,0.13253078770896287,0.21160786076318935,0.2120151695489012,0.12100333524500716,0.09787936025056104,0.12518365903001535,0.09977982745336302
1936,0.09967806333796389,0.2947766853896519,0.22297690932146733,0.08705546981899139,0.09968707397060204,0.10055327049668149,0.09527252766464196
1937,0.09838169955248094,0.25512951887632085,0.24230183054486434,0.10173024264021623,0.10611868450323442,0.09892778407852429,0.09741023980435896
1938,0.10164513314034365,0.20769983184698756,0.22324986169673885,0.09002848102858896,0.135231957935188,0.10501734678339872,0.13712738756875426
1939,0.1177431464682495,0.2357943076744501,0.21939959267174192,0.11454936773510245,0.11261674038606934,0.11193802270950794,0.08795882235487877
1940,0.12023326311153461,0.264058124338486,0.21209459635752181,0.11286287566965061,0.10443354616694436,0.09830098034128953,0.08801661401457303
1941,0.09373710782859045,0.2694634310708653,0.21842566337329486,0.08307230114740934,0.1105301073498499,0.1291714504529343,0.09559993877705592
1942,0.10759803622075267,0.24856899947103442,0.22246400475679082,0.09611835856462403,0.12667308330694133,0.10085214723135051,0.09772537044850622
1943,0.13935997017122095,0.2594637708528799,0.19267258904317172,0.12416417189223078,0.10049606953280714,0.09124789869368306,0.09259552981400641
1944,0.11233182206277892,0.3060755170586197,0.1789779014388205,0.12877068943514516,0.09000780464072788,0.0732613618080406,0.11057490355586727
1945,0.09851311332428976,0.2351013345989273,0.22380219729017709,0.1581270241387374,0.11989503996161305,0.07087981823901018,0.09368147244724526
1946,0.14438109683847716,0.2121766083303608,0.23850102175441493,0.11967404964372956,0.09772757306125109,0.09304216732059346,0.09449748305117299
1947,0.13515230935738665,0.2386334000328073,0.2093178208086459,0.09933074260744484,0.13048731963106036,0.08095789612580154,0.1061205114368534
1948,0.10757180095302123,0.2735628154931067,0.22281678579197645,0.11199257982837096,0.10140194377882573,0.08548067155093807,0.09717340260376088
1949,0.08851413609133547,0.2816580042031729,0.20366836738116412,0.10858730681155068,0.12062857739477303,0.11099896556546594,0.08594464255253784
