Year,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7
1872,0.03141605893328701,0.5121001782859148,0.09055977666549861,0.03777545000393417,0.082154954031483,0.07004730340390775,0.17594627867597462
1873,0.051085004763107233,0.2602342248331609,0.16187911706178712,0.034927570109030935,0.17837191459640564,0.10352874079815277,0.20997342783835543
1874,0.052274379319867344,0.6565648988508711,0.10729919309781608,0.015092007439071008,0.030800306617444737,0.0729436577058507,0.06502555696907908
1875,0.04089786059859398,0.6040482479561233,0.13301804669826617,0.01738179969710471,0.03402831200029792,0.08835085120761904,0.08227488184199483
1876,0.03892571704358161,0.655841563969918,0.11653756932672406,0.017788722620638735,0.03625177291058564,0.06914198981303749,0.06551266431551452
1877,0.043635471154849025,0.6286044204487565,0.10860196806999471,0.02810521123823139,0.04055816616255211,0.06192246134559374,0.08857230158002255
1878,0.037748578284190995,0.5874808877648083,0.141702700943515,0.025241745917153117,0.05624884877615484,0.0755374848956141,0.07603975341856366
1879,0.04367309807703236,0.5931178223641039,0.15071612363298056,0.027084824674594013,0.0342584459901564,0.062185395635932936,0.08896428962519981
1880,0.04585785879059985,0.6010473967677097,0.14773020104857018,0.030117127135322257,0.044456301240655575,0.06272360197553362,0.0680675130416088
1881,0.05413594837805737,0.5752360459076477,0.15308045105656023,0.02306704149020991,0.038535847682922564,0.08109835060539945,0.07484631487920278
1882,0.05899584089640522,0.5920415554761427,0.13664993270263862,0.038444250367640265,0.03629760157031273,0.06493381284317717,0.07263700614368336
1883,0.12077988706640523,0.5086806414882491,0.12502239551279468,0.022659010660498295,0.06622593808088709,0.08044991017607307,0.07618221701509253
1884,0.056988770422162646,0.4838901629486825,0.13440547855009935,0.02899043609586242,0.07093594312378353,0.15038704256968818,0.07440216628972139
1885,0.0456349766096754,0.6241947605644497,0.11566344232216749,0.032324200718749696,0.04303310873188885,0.07526744488158087,0.06388206617148805
1886,0.05016393123564252,0.5812461933536601,0.11062602852786745,0.03151101879225888,0.058296160488093,0.0894214286351046,0.07873523896737342
1887,0.04866742419683246,0.5946585052886778,0.10936388546686852,0.04056690170252187,0.04243725948758403,0.08979373063776515,0.07451229321975014
1888,0.05718653916580254,0.5371365218396041,0.12951904095306163,0.03482594678316916,0.06607376055784128,0.07489942539430232,0.10035876530621887
1889,0.049238084217939855,0.6127116215569105,0.10575676463031992,0.026032599676506202,0.060442714567950404,0.07968270846801448,0.06613550688235867
1890,0.04772413430979233,0.6072301366565187,0.11060007190437025,0.025771171895718484,0.05323438083380091,0.07827710161743852,0.0771630027823608
1891,0.04520479741006465,0.6079837640822258,0.1175236781483526,0.03247089407706311,0.040937406746506304,0.0775731394140408,0.0783063201217468
1892,0.05218117473803128,0.590581184558119,0.1280270887810404,0.028959037524192415,0.0477096478161618,0.06466891092774714,0.08787295565470789
1893,0.04751872064619465,0.6019882065846693,0.13363876592828872,0.03508344680717051,0.048407582631783394,0.059820450315954836,0.07354282708593853
1894,0.04629374480179953,0.6399329497328591,0.09718197567923936,0.02714593103778731,0.047907229915511794,0.07443044469943955,0.06710772413336336
1895,0.04853606696750503,0.6244714274140776,0.13654011462833274,0.03445489824962567,0.04498544736281584,0.04791582228533371,0.06309622309230943
1896,0.04415392636340734,0.6304613378090955,0.12167680081915598,0.021838259423904882,0.05743956786775214,0.054576207010057,0.06985390070662711
1897,0.031484514319250485,0.6679060146074869,0.1133182594422882,0.021636777934572263,0.03797006223774676,0.054834686634435026,0.07284968482422043
1898,0.036868305227197855,0.6460833700443632,0.11363207260719631,0.025887629540220322,0.04089274412905091,0.05840504371092418,0.07823083474104725
1899,0.04126398604674026,0.6752329791930275,0.10382710041983374,0.026005548060125023,0.034879155054781834,0.048178841563105666,0.07061238966238602
1900,0.029858504597193167,0.731025046348071,0.09242654779465766,0.017940070511510565,0.0298899719223813,0.029822232301616666,0.06903762652456971
1901,0.023731683020740194,0.667786185391335,0.10914549762999781,0.01950160695119689,0.04246811005004542,0.05201681291116632,0.08535010404551831
1902,0.026657504315476623,0.7082732155774126,0.0949948895007712,0.019051802683153908,0.027684939709508666,0.03974687128131603,0.08359077693236096
1903,0.03218023563405639,0.6873053975667521,0.09428578014303185,0.02501675987056001,0.036811951200335355,0.05109943203972801,0.07330044354553626
1904,0.031044322359853323,0.6861025906705205,0.09860163328376273,0.02415541800983828,0.035537286948289705,0.042879001308430434,0.08167974741930509
1905,0.03435850651305818,0.6166234420232684,0.11182686054616776,0.031213549686582416,0.06904174264409346,0.05421823690149805,0.08271766168533183
1906,0.05439177974751487,0.5250314112896831,0.15536325740965604,0.03725400098534945,0.07482059715078745,0.05974385164562666,0.09339510177138244
1907,0.049563693205688694,0.5521831891849915,0.140595252040249,0.03543857627620148,0.08543560193502953,0.05820059483433258,0.0785830925235072
1908,0.034244478502292584,0.6723922902815145,0.10751638292255089,0.031059127947970593,0.039139595211972675,0.0454735473459615,0.07017457778773731
1909,0.029794621353683527,0.6670353759367044,0.1076614594120825,0.027499180793244805,0.05294164074753322,0.044845376640230486,0.07022234511652109
1910,0.031312447209756795,0.6311659197673517,0.12790053778385396,0.04003741991999237,0.040317582553619044,0.048801467873409464,0.08046462489201668
